Pos,Team,Matches,Points,Rating
1,Australia,35,3965,113
2,India,47,5294,113
3,New Zealand,30,3367,112
4,England,36,3988,111
5,Pakistan,25,2649,106
6,South Africa,31,3141,101
7,Bangladesh,38,3625,95
8,Sri Lanka,35,3037,87
9,West Indies,43,3105,72
10,Afghanistan,20,1419,71
11,Ireland,27,1384,51
12,Scotland,35,1567,45
13,Zimbabwe,31,1351,44
14,Nepal,40,1238,31
15,Oman,30,919,31
16,Netherlands,26,791,30
17,USA,36,1093,30
18,Namibia,37,1096,30
19,UAE,40,964,24
20,PNG,43,80,2
