Pos,Team,Matches,Points,Rating
1,Australia Women,21,3603,172
2,England Women,28,3342,119
3,South Africa Women,26,3098,119
4,India Women,27,2820,104
5,New Zealand Women,25,2553,102
6,West Indies Women,27,2535,94
7,Bangladesh Women,13,983,76
8,Thailand Women,8,572,72
9,Pakistan Women,27,1678,62
10,Sri Lanka Women,8,353,44
11,Ireland Women,14,548,39
12,Netherlands Women,9,0,0
13,Zimbabwe Women,8,0,0
